money,brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometers,currency
95000,BMW,Serie 4,2022,Negro,Nafta,2,Automatic,2,Coupe,21000,Dollar
3100000,Chevrolet,Onix,2018,Gris,Nafta/CNG,5,Manual,1.4,Hatchback,62300,pesos
3780000,Ford,Fiesta Kinetic Design,2017,Gris,Nafta,5,Manual,1.6,Hatchback,44607,pesos
2850000,Peugeot,308,2012,Azul,Nafta,5,Manual,2,Hatchback,130000,pesos
2500000,Citroen,C3 Picasso,2012,Blanco,Nafta,5,Manual,1.6,Hatchback,112000,pesos
1900000,Fiat,Palio,2011,Gris,Nafta,5,Manual,1.6,Rural,190000,pesos
47700,Toyota,SW4,2020,Gris,Diesel,5,Automatic,2.8,SUV,71000,Dollar
64900,RAM,1500,2022,Rojo,Nafta,4,Automatic,5.7,Pick-Up,18000,Dollar
7970000,Volkswagen,Taos,2022,Gris,Nafta,5,Automatic,1.4,SUV,1111,pesos
6590000,Volkswagen,T-Cross,2019,Gris,Nafta,5,Automatic,1.6,SUV,23000,pesos
4089900,Ford,Focus III,2017,Azul,Nafta,4,Manual,2,Sedain,79000,pesos
4989900,Ford,Ecosport,2020,Blanco,Nafta,5,Automatic,1.5,SUV,39000,pesos
2649900,Ford,Fiesta Kinetic Design,2013,Gris,Nafta,5,Manual,1.6,Hatchback,79000,pesos
8459900,Volkswagen,Passat,2017,Blanco,Nafta,4,Automatic,2,Sedain,59000,pesos
2350000,Fiat,Palio,2015,Negro,Nafta/CNG,5,Manual,1.4,Hatchback,64000,pesos
7890000,Hyundai,Santa Fe,2017,Gris,Nafta,5,Manual,2.4,SUV,90000,pesos
5990000,Jeep,Renegade,2018,Rojo,Nafta,5,Automatic,1.8,SUV,57000,pesos
12500,BMW,Serie 1,2010,Plateado,Nafta,3,Manual,2,Hatchback,125000,Dollar
6300000,Toyota,Corolla,2018,,Nafta,4,Automatic,1.8,Sedain,16500,pesos
7489000,Volkswagen,Amarok,2017,Blanco,Diesel,2,Manual,2,Pick-Up,115000,pesos
4400000,Citroen,C4 Cactus,2018,Violeta,Nafta,5,Automatic,1.2,SUV,46000,pesos
2510000,Renault,Sandero,2019,Negro,Nafta,5,Manual,1.6,Hatchback,58000,pesos
9300000,Ford,Territory,2021,Blanco,Nafta,5,Automatic,1.5,SUV,15000,pesos
3499900,Chevrolet,Onix,2017,Rojo,Nafta/CNG,5,Manual,1.4,Hatchback,60000,pesos
2900000,Volkswagen,Voyage,2018,Azul,Nafta,4,Manual,1.6,Sedain,38000,pesos
5900000,Toyota,Yaris,2020,Blanco,Nafta,5,Manual,1.5,Hatchback,12000,pesos
3459900,Volkswagen,Gol Trend,2017,Blanco,Nafta,5,Manual,1.6,Hatchback,39000,pesos
3600000,Renault,Duster,2016,Blanco,Nafta,5,Manual,1.6,SUV,76000,pesos
3799000,Peugeot,208,2017,Gris,Nafta,5,Manual,1.6,Hatchback,58000,pesos
4250000,Renault,Duster,2015,Negro,Nafta/CNG,5,Manual,2,SUV,89400,pesos
2880000,Ford,Fiesta Kinetic Design,2015,Negro,Nafta,5,Manual,1.6,Hatchback,89800,pesos
2200000,Honda,Fit,2011,Negro,Nafta,5,Manual,1.4,Hatchback,137000,pesos
6490000,Mitsubishi,L200,2016,Gris,Diesel,4,Manual,3.2,Pick-Up,181800,pesos
7190000,Citroen,C4 Spacetourer,2019,Blanco,Nafta,5,Automatic,1.6,Monovolumen,60000,pesos
4589900,Volkswagen,Saveiro,2020,Blanco,Nafta,2,Manual,1.6,Pick-Up,37000,pesos
3489900,Citroen,DS4,2013,Blanco,Nafta,5,Automatic,1.6,Hatchback,79100,pesos
8600000,Toyota,Hilux,2017,Blanco,Diesel,4,Automatic,2.8,Pick-Up,170000,pesos
10599,Mercedes-Benz,Clase C,2008,Plateado,Nafta,4,Automatic,2.2,Sedain,250000,Dollar
7950000,Nissan,Sentra,2020,Blanco,Nafta,4,Automatic,2,Sedain,30000,pesos
28500,Peugeot,308,2017,Azul,Nafta,5,Manual,1.6,Hatchback,42000,Dollar
3990000,Peugeot,Expert,2014,Blanco,Diesel,3,Manual,2,Monovolumen,130000,pesos
3490000,Ford,Ecosport,2015,Plateado,Nafta,5,Manual,1.6,SUV,51000,pesos
3564000,Honda,Fit,2013,Blanco,Nafta,5,Manual,1.5,Hatchback,82012,pesos
2890000,Peugeot,408,2013,,Nafta,4,Manual,2,Sedain,129400,pesos
3449900,Volkswagen,Vento,2011,Gris,Nafta,4,Automatic,2.5,Sedain,89000,pesos
3789900,Volkswagen,Polo,2018,Gris,Nafta,5,Automatic,1.6,Hatchback,109000,pesos
34990,Mercedes-Benz,Clase GLA,2015,Negro,Nafta,5,Automatic,1.6,SUV,86000,Dollar
